word,start,end,probability
we,1.9,2.64,0.03175736218690872
start,2.64,3.18,0.816500186920166
the,3.18,3.5,0.3934307396411896
undergrads,3.5,4.34,0.20787692566712698
and,4.34,5.52,0.3120845854282379
the,5.52,7.82,0.7170912027359009
sink,7.82,8.4,0.9797765612602234
is,8.4,8.68,0.9879264831542969
overflowing,8.68,9.48,0.9389004409313202
with,9.48,9.92,0.34010249376296997
water,9.92,10.54,0.9955427050590515
on,10.54,10.88,0.3785622715950012
the,10.88,11.1,0.950287938117981
floor,11.1,11.86,0.98341965675354
um,13.71,14.08,0.25974276661872864
the,15.8,16.4,0.6507832407951355
boy,16.4,16.72,0.9193582534790039
is,16.72,17.28,0.9876323938369751
on,17.28,17.62,0.966392993927002
his,17.62,17.8,0.6080599427223206
stool,17.8,18.2,0.252524197101593
and,18.5,19.92,0.18627572059631348
i'm,19.92,20.24,0.6690363883972168
sipping,20.24,20.58,0.7370897978544235
cookies,20.58,21.04,0.8983827829360962
out,21.04,21.32,0.8056678771972656
of,21.32,21.42,0.9472950100898743
the,21.42,21.48,0.8631165027618408
cookie,21.48,21.72,0.9218571782112122
jar,21.72,22.06,0.9452695846557617
the,24.08,24.72,0.07122192531824112
addie,24.72,25.26,0.06491201691096649
has,25.26,25.4,0.15285959839820862
one,25.4,25.56,0.4049966335296631
cookie,25.56,25.92,0.7304218411445618
two,26.12,26.44,0.9228236079216003
cookies,26.44,26.8,0.991384744644165
on,26.8,27.1,0.7080432176589966
each,27.1,27.42,0.956624448299408
hand,27.42,27.8,0.9491637945175171
the,28.9,29.54,0.8918876051902771
girl,29.54,30.18,0.9241385459899902
is,30.18,30.64,0.530828058719635
standing,30.64,31.08,0.29110828042030334
reaching,31.36,32.76,0.9946028590202332
out,32.76,33.04,0.5183077454566956
for,33.04,33.26,0.9834285378456116
a,33.26,33.38,0.9473958015441895
cookie,33.38,33.64,0.9977567791938782
it,34.26,34.9,0.17072565853595734
was,34.9,35.18,0.9142765402793884
there,35.18,35.58,0.6734023690223694
a,35.58,35.82,0.418199360370636
year,35.82,37.1,0.9959571957588196
over,37.1,37.42,0.38563430309295654
