word,start,end,probability
this,0.0,0.9,0.39297306537628174
little,0.9,1.12,0.828905463218689
boy,1.12,1.4,0.6532034873962402
or,1.4,1.64,0.35391178727149963
this,1.64,1.88,0.8670837879180908
little,1.88,2.08,0.982056200504303
girl's,2.08,2.6,0.7689943909645081
talking,2.6,3.2,0.5822554230690002
of,3.2,3.36,0.6835228800773621
this,3.36,3.52,0.9823233485221863
boy,3.52,3.86,0.9917700290679932
up,3.86,4.84,0.9505521059036255
up,4.84,5.08,0.7911599278450012
on,5.08,5.34,0.9771193861961365
top,5.34,6.5,0.6159766316413879
up,6.5,7.56,0.7226005792617798
on,7.56,7.82,0.9428373575210571
the,7.82,7.94,0.4225597381591797
top,7.94,8.18,0.19015061855316162
ladder,8.18,8.48,0.9084700345993042
and,8.48,10.62,0.9629695415496826
she's,10.62,11.56,0.9954560101032257
asking,11.56,11.82,0.8578608632087708
him,11.82,12.0,0.9991222023963928
to,12.0,12.18,0.9993329644203186
bring,12.18,12.38,0.9972628355026245
some,12.38,12.64,0.9940215945243835
of,12.64,12.9,0.9991018772125244
this,12.9,13.06,0.9976211190223694
down,13.06,14.32,0.9897435307502747
or,14.32,14.68,0.9922086000442505
whatever,14.68,14.9,0.9987649917602539
it,14.9,15.1,0.9976717829704285
was,15.1,15.3,0.9982656836509705
a,15.3,15.44,0.9789741039276123
jar,15.44,15.7,0.997920572757721
or,15.7,15.94,0.9909704923629761
whatever,15.94,16.14,0.9989068508148193
it,16.14,16.34,0.9984521865844727
is,16.34,16.52,0.9981899857521057
that,16.52,16.68,0.6878958344459534
sort,16.68,17.06,0.40675869584083557
of,17.06,17.2,0.9873176217079163
doesn't,17.2,17.54,0.8982459008693695
doesn't,17.54,18.54,0.8927313983440399
break,18.54,18.72,0.9970716238021851
there's,20.139999999999997,20.62,0.5210480093955994
a,20.62,20.62,0.7378659248352051
mother,20.62,20.84,0.9869537949562073
over,20.84,21.14,0.9960402250289917
here,21.14,21.44,0.9585764408111572
she's,21.44,22.44,0.9430608749389648
watching,22.44,22.74,0.9864140152931213
them,22.74,23.0,0.9936747550964355
that,23.0,23.14,0.7896071672439575
she,23.14,23.34,0.9980637431144714
has,23.34,23.54,0.996586799621582
that,23.54,23.74,0.9900201559066772
break,23.74,24.04,0.832455039024353
in,24.04,24.22,0.5397759675979614
her,24.22,24.32,0.9925487041473389
hand,24.32,25.04,0.23838582634925842
and,25.04,25.74,0.768016517162323
it,25.74,26.52,0.9169961214065552
looks,26.52,26.76,0.9987941980361938
like,26.76,26.96,0.9970958232879639
it's,26.96,27.08,0.9464983940124512
a,27.08,27.16,0.5375813245773315
very,27.16,27.48,0.9921695590019226
strong,27.48,28.94,0.9917804598808289
break,28.94,29.82,0.5027655363082886
or,29.82,30.64,0.15560635924339294
burke,30.64,31.76,0.2219787985086441
she's,31.76,34.48,0.8699093461036682
looking,34.48,34.64,0.9321049451828003
real,34.64,35.36,0.9454240798950195
real,35.36,35.62,0.6389355063438416
good,35.62,35.78,0.9987037181854248
at,35.78,35.98,0.9967954754829407
it,35.98,36.22,0.9872031807899475
a,36.22,36.44,0.24484752118587494
jar,36.44,36.94,0.5914958119392395
or,36.94,37.26,0.7643680572509766
whatever,37.26,37.5,0.9986823201179504
she's,37.5,40.6,0.9602178633213043
touching,40.6,40.8,0.9605061411857605
him,40.8,41.5,0.10529755800962448
the,41.5,41.66,0.6041353344917297
little,41.66,41.9,0.6101992726325989
little,41.9,42.22,0.2698025703430176
touch,42.22,42.6,0.8689007759094238
of,42.6,42.78,0.8848006129264832
her,42.78,42.88,0.9768761992454529
mouth,42.88,43.14,0.9855887293815613
off,43.14,43.4,0.8287674784660339
of,43.4,43.48,0.8338692784309387
the,43.48,43.54,0.5692684054374695
there,43.54,43.78,0.7153213024139404
and,43.78,44.22,0.8482386469841003
it,44.22,44.38,0.4651948809623718
looks,44.38,45.16,0.8696338534355164
like,45.16,45.5,0.9990963935852051
he's,45.5,46.44,0.9584788680076599
gonna,46.44,46.62,0.7417860627174377
go,46.62,46.76,0.5657015442848206
bring,46.76,46.9,0.9527290463447571
some,46.9,47.1,0.9975791573524475
of,47.1,47.28,0.9995404481887817
that,47.28,47.4,0.9995007514953613
down,47.4,47.76,0.9917209148406982
down,47.76,48.6,0.8657918572425842
down,48.6,48.7,0.004240131005644798
with,48.72,48.86,0.38697779178619385
them,48.86,48.94,0.5869067311286926
all,48.94,49.16,0.8478217720985413
and,49.16,49.42,0.5185279250144958
and,49.42,50.54,0.5889350175857544
and,50.54,50.76,0.570592999458313
mother's,50.76,51.16,0.5608757883310318
out,51.16,51.28,0.9939553141593933
there,51.28,51.54,0.9926869869232178
looking,51.54,51.82,0.7735822796821594
at,51.82,52.0,0.9941270351409912
them,52.0,52.16,0.8059849143028259
and,52.16,52.32,0.9898945689201355
and,52.32,53.04,0.8107563257217407
it,53.04,53.12,0.11008758097887039
looks,53.12,53.66,0.9914713501930237
like,53.66,53.84,0.9959128499031067
she's,53.84,54.2,0.9958013892173767
washing,54.2,54.5,0.9743024706840515
this,54.5,54.72,0.18728436529636383
dishes,54.72,55.04,0.9026821255683899
that,55.04,55.22,0.9257630109786987
they,55.22,55.96,0.9932572841644287
already,55.96,56.26,0.9784941673278809
had,56.26,56.6,0.991776704788208
and,56.6,56.78,0.1996484100818634
she's,56.78,57.26,0.8410258591175079
she's,57.26,57.54,0.7751330733299255
washing,57.54,57.76,0.9941787719726562
the,57.76,57.94,0.9946410655975342
dishes,57.94,58.12,0.9991747736930847
away,58.12,58.84,0.99736088514328
from,58.84,59.16,0.9982567429542542
them,59.16,59.32,0.8472369909286499
looks,59.32,59.52,0.44224226474761963
that,59.52,59.72,0.9978083968162537
way,59.72,59.98,0.9840166568756104
she's,59.98,60.36,0.9922234416007996
cleaning,60.36,60.7,0.9639896154403687
it,60.7,60.86,0.9095641374588013
you,60.86,61.04,0.9955155253410339
know,61.04,61.18,0.9993782043457031
