word,start,end,probability
the,0.0,0.08,0.44503235816955566
little,0.08,0.26,0.9218812584877014
boy,0.26,0.6,0.9566711187362671
is,0.6,0.82,0.9076120257377625
up,0.82,1.06,0.9526770114898682
on,1.06,1.26,0.7521997094154358
this,1.26,1.88,0.7486941814422607
thing,1.88,5.34,0.8255857825279236
here,5.34,5.66,0.9546411037445068
and,5.92,6.06,0.33839166164398193
b's,6.06,7.32,0.31889937072992325
up,7.32,7.5,0.96103835105896
trying,7.5,8.54,0.8642403483390808
to,8.54,8.72,0.997129499912262
get,8.72,8.9,0.9939401149749756
something,8.9,9.2,0.9938079714775085
out,9.2,9.66,0.9837062358856201
of,9.66,9.86,0.9587808847427368
the,9.86,9.92,0.5328750610351562
garden,9.92,11.2,0.9378796219825745
selection,11.2,11.86,0.5314315557479858
i,12.18,12.4,0.9577751755714417
think,12.4,12.62,0.9983696341514587
it,12.62,12.78,0.9792993664741516
is,12.78,12.98,0.9973752498626709
the,19.120000000000005,19.72,0.8730641603469849
little,19.72,19.94,0.9726762771606445
girl,19.94,20.48,0.9960830211639404
i,20.5,20.66,0.9939095973968506
think,20.66,20.96,0.9988405108451843
is,20.96,21.1,0.9916006326675415
mad,21.1,21.38,0.9986059069633484
because,21.38,21.72,0.9387325644493103
she,21.72,21.98,0.9939025640487671
didn't,21.98,22.3,0.9924015402793884
get,22.3,22.48,0.9885799288749695
something,22.48,22.78,0.42644721269607544
and,23.380000000000006,23.98,0.9116756916046143
here's,23.98,24.5,0.9510889649391174
mama,24.5,24.84,0.5446017980575562
drying,24.84,25.52,0.8606408834457397
the,25.52,25.86,0.9981657862663269
dishes,25.86,26.2,0.9989689588546753
notice,26.2,26.98,0.23202253878116608
the,26.98,27.36,0.9466806054115295
little,27.36,27.54,0.9515531659126282
girl,27.54,28.0,0.9942227005958557
and,28.0,28.2,0.8539618253707886
the,28.2,28.32,0.978310227394104
boy,28.32,28.64,0.9628363847732544
was,28.64,29.7,0.647316038608551
on,29.7,29.98,0.9814261794090271
here,29.98,30.26,0.9292725324630737
the,30.34,30.6,0.9029808640480042
little,30.6,30.84,0.9851851463317871
girl,30.84,31.18,0.9988502264022827
and,31.18,31.42,0.9793633222579956
the,31.42,31.56,0.9919661283493042
boy,31.56,31.88,0.9953461289405823
reaching,32.12,32.68,0.8870612382888794
up,32.68,32.92,0.9914377331733704
to,32.92,33.14,0.9717953205108643
the,33.14,33.32,0.9859946966171265
boy,33.32,33.8,0.9869115352630615
and,33.8,34.12,0.6545906066894531
the,34.12,34.26,0.9842454791069031
boy,34.26,34.56,0.9470127820968628
has,34.56,34.82,0.12796710431575775
got,34.82,35.52,0.9167468547821045
his,35.52,35.74,0.970033586025238
other,35.74,35.96,0.9879944324493408
hand,35.96,36.24,0.996675968170166
down,36.24,36.68,0.995849609375
so,36.94,37.5,0.677665114402771
you,37.58,38.0,0.7954939603805542
know,38.0,38.26,0.9927990436553955
that,38.26,38.42,0.9877722263336182
soft,38.42,38.7,0.8645520806312561
paint,38.7,39.14,0.7148095369338989
spilled,39.14,39.9,0.9342200756072998
something,39.9,40.54,0.9915302991867065
i,40.64,40.78,0.9881004095077515
think,40.78,41.02,0.9987311959266663
from,41.14,42.48,0.9950428009033203
the,42.48,42.72,0.994981586933136
sink,42.72,43.26,0.9994558691978455
down,43.26,43.66,0.9513710737228394
it,43.9,44.44,0.7481682300567627
came,44.44,44.72,0.99442058801651
splashing,44.72,45.1,0.49577078223228455
down,45.1,45.76,0.9831957221031189
i,45.96,46.28,0.6154998540878296
noticed,46.28,46.74,0.9706347584724426
it,46.74,47.04,0.9716630578041077
i'm,48.44,49.0,0.5816380679607391
terrible,49.0,49.54,0.8777133822441101
anymore,49.54,50.1,0.8675685524940491
