word,start,end,probability
oh,0.0,1.28,0.47438859939575195
yeah,1.3,2.02,0.8805364370346069
kids,2.18,2.74,0.8568344712257385
climbing,2.74,3.2,0.9460124373435974
up,3.2,3.48,0.9654134511947632
on,3.48,3.76,0.9960826635360718
the,3.76,3.92,0.9845414161682129
stool,3.92,4.3,0.4076075255870819
reaching,4.3,5.14,0.43027907609939575
up,5.14,5.52,0.9326802492141724
in,5.52,5.7,0.9914326667785645
the,5.7,5.82,0.9879041314125061
cupboard,5.82,6.22,0.9380480051040649
they're,6.76,7.22,0.4678806960582733
not,7.22,7.32,0.6810488700866699
gonna,7.32,7.6,0.8122655153274536
knock,7.6,8.1,0.9900050759315491
things,8.1,8.44,0.9485971927642822
off,8.44,8.7,0.47151392698287964
and,10.2,10.84,0.21889197826385498
the,10.84,11.02,0.5712597370147705
mother,11.02,12.14,0.8744339942932129
oh,12.24,12.76,0.9074581861495972
boy,12.76,13.08,0.9848031997680664
the,13.08,13.26,0.5862472653388977
water's,13.26,13.68,0.684722363948822
all,13.68,13.88,0.9070125222206116
spilling,13.88,14.28,0.9356265366077423
out,14.28,14.54,0.9853922724723816
the,14.54,14.72,0.5780655741691589
sink,14.72,15.12,0.9957829713821411
she's,16.74,17.38,0.6925139427185059
just,17.38,17.58,0.9632543325424194
looking,17.58,17.86,0.935634195804596
at,17.86,18.1,0.9526227116584778
it,18.1,18.34,0.6673692464828491
like,18.34,18.58,0.9505334496498108
oh,18.58,19.24,0.4434582591056824
the,19.24,20.62,0.35246288776397705
mistakes,20.62,20.98,0.6465225219726562
oh,34.68,35.4,0.008741864003241062
yeah,36.86,36.86,0.024156242609024048
i'm,36.86,36.86,0.166588194668293
gonna,36.86,36.86,0.2923385202884674
get,36.86,36.86,0.01584036834537983
the,36.86,36.86,0.06946993619203568
water,36.86,36.86,0.007201870903372765
well,36.86,36.86,0.000352464645402506
as,36.86,37.0,0.26752811670303345
i,37.0,37.14,0.9573379755020142
say,37.14,37.5,0.6073290109634399
that,37.5,37.68,0.32801005244255066
you,37.68,38.16,0.1700870394706726
know,38.16,38.42,0.9497078657150269
boy,38.42,38.7,0.29507875442504883
on,38.7,39.0,0.32594117522239685
this,39.0,39.3,0.9563610553741455
stand,39.3,40.06,0.8955138921737671
or,40.06,40.62,0.7083920836448669
on,40.62,40.94,0.5045644044876099
the,40.94,41.06,0.6512906551361084
stool,41.06,41.64,0.3150818943977356
it's,42.38,43.1,0.48718575201928616
tilting,43.1,43.68,0.5249190144240856
to,44.26,44.62,0.05957372486591339
the,44.62,44.76,0.7697131037712097
way,44.76,45.02,0.8458356261253357
to,45.02,45.14,0.8129361867904663
break,45.14,45.34,0.8951555490493774
his,45.34,45.56,0.8446069955825806
neck,45.56,45.84,0.9577876925468445
break,46.74,47.46,0.10611273348331451
his,47.46,47.7,0.9625375270843506
back,47.7,48.1,0.9803180694580078
well,53.900000000000006,54.620000000000005,0.05938874930143356
then,54.620000000000005,55.34,0.2560022473335266
after,55.34,55.72,0.5612258315086365
awesome,55.72,56.48,0.13722273707389832
running,56.48,56.98,0.5000407099723816
it's,60.22,60.84,0.5921932980418205
been,60.84,61.04,0.14372530579566956
a,61.04,61.16,0.2065720409154892
for,61.16,61.38,0.06931037455797195
me,61.38,61.56,0.980251133441925
to,61.56,61.72,0.9714294672012329
do,61.72,61.94,0.9805575609207153
um,61.94,62.88,0.1551547646522522
um,64.64,65.26,0.07510562241077423
me,65.26,65.84,0.9020096063613892
scan,65.84,66.9,0.35055872797966003
a,66.9,67.12,0.6798909306526184
little,67.12,67.3,0.9759697318077087
bit,67.3,67.66,0.9941814541816711
more,67.66,68.1,0.9970651268959045
no,81.96,82.58,0.3510047495365143
just,82.58,83.2,0.46747079491615295
your,83.2,83.38,0.5308749675750732
more,83.38,83.64,0.6954314112663269
yeah,83.64,84.24,0.7674564719200134
i,84.46,84.9,0.597122311592102
