word,start,end,probability
there's,1.1999999999999993,2.08,0.6166065484285355
a,2.08,2.18,0.9876075387001038
cook,2.18,2.44,0.583502471446991
a,2.58,3.14,0.8171262145042419
boy,3.14,3.88,0.8456999063491821
is,3.88,5.62,0.6288183331489563
taking,5.62,7.94,0.9400797486305237
cookies,7.94,8.64,0.7021535038948059
and,8.64,10.64,0.9099151492118835
giving,10.64,11.86,0.9731560349464417
one,11.86,12.26,0.9802064895629883
to,12.26,12.56,0.9976327419281006
the,12.56,12.68,0.9793857932090759
girl,12.68,13.12,0.9989027976989746
imagine,13.14,13.5,0.40925154089927673
and,15.84,16.72,0.9673312902450562
she,16.72,17.24,0.9946432113647461
wants,17.24,17.64,0.9958152174949646
one,17.64,17.9,0.9603813886642456
i,17.92,18.12,0.991755485534668
don't,18.12,18.3,0.9955549836158752
know,18.3,18.38,0.9994705319404602
the,19.759999999999998,20.64,0.31257420778274536
mother's,20.64,21.52,0.7509464919567108
washing,21.52,22.14,0.9308072328567505
dishes,22.14,23.04,0.9994934797286987
she,23.86,24.74,0.9988629817962646
spilled,24.74,25.18,0.9947579503059387
it,25.18,25.48,0.9986839890480042
she's,29.180000000000003,30.14,0.5445006415247917
washing,30.14,30.46,0.9212002754211426
dishes,30.46,30.94,0.9946125745773315
i,39.38000000000001,40.34,0.6149870157241821
can,40.34,41.2,0.9590334296226501
dance,41.2,41.68,0.6754820346832275
outside,41.68,42.8,0.9849945902824402
to,42.8,43.36,0.4353487491607666
you,43.36,43.6,0.9676628112792969
oh,44.42,45.38,0.5171148777008057
he's,45.68,50.18,0.9449006021022797
going,50.18,50.2,0.7336410880088806
to,50.2,50.34,0.42820996046066284
fly,50.34,51.24,0.4514911472797394
oh,53.46,53.52,0.21741273999214172
he's,54.16,55.04,0.8992811739444733
going,55.04,55.14,0.9529025554656982
to,55.14,55.28,0.9947534799575806
fly,55.28,55.42,0.9761821031570435
oh,55.48,55.58,0.017996415495872498
he's,55.64,59.0,0.11507232347503304
going,59.0,59.0,0.030704695731401443
to,59.0,59.0,0.5696102976799011
fly,59.0,59.0,0.002203865209594369
oh,59.0,59.0,0.1540772169828415
he's,59.0,59.2,0.48565807193517685
going,59.2,59.2,0.39360880851745605
to,59.2,59.2,0.9793080687522888
fly,59.2,59.2,0.8623987436294556
and,59.2,59.44,0.1564585566520691
uh,59.72,60.0,0.8391831517219543
she's,60.08,62.48,0.3535923718009144
laughing,62.48,62.72,0.014373802579939365
at,62.72,63.06,0.8554396629333496
him,63.06,63.34,0.11429759860038757
