word,start,end,probability
well,0.0,0.6,0.46775245666503906
the,0.74,1.14,0.9139851927757263
kid,1.14,1.48,0.796332597732544
is,1.48,1.62,0.5480939149856567
falling,1.62,1.9,0.8158423900604248
off,1.9,2.48,0.8387097716331482
the,2.48,2.74,0.9545621275901794
stool,2.74,3.08,0.9390674829483032
at,3.36,4.0,0.15055963397026062
least,4.0,4.18,0.975906491279602
and,6.26,6.9,0.6068004369735718
the,6.9,7.12,0.8805474042892456
mother,7.12,7.42,0.9246273636817932
is,7.42,7.58,0.7117382884025574
washing,7.58,7.92,0.9670199751853943
dry,7.92,8.8,0.45910054445266724
dishes,8.8,9.46,0.9971737861633301
and,9.46,9.74,0.5952772498130798
the,9.74,9.86,0.1934690624475479
sick,9.86,10.56,0.6443853974342346
is,10.56,10.76,0.5146964192390442
spilling,10.76,11.04,0.8460921347141266
over,11.04,11.36,0.6677154302597046
and,14.96,15.6,0.4962931349873543
what,16.8,17.44,0.4358600974082947
else?,17.44,17.76,0.9951230883598328
and,21.84,22.48,0.5989283323287964
the,22.48,22.84,0.982511579990387
floor,22.84,23.12,0.9495607018470764
is,23.12,23.28,0.9644489288330078
getting,23.28,23.48,0.9880716800689697
wet,23.48,23.8,0.998845100402832
and,26.98,27.62,0.42201879620552063
what,27.62,27.82,0.9830585718154907
else,27.82,28.14,0.9940244555473328
is,28.14,28.3,0.9915938377380371
new?,28.3,28.52,0.9879391193389893
oh,28.52,29.66,0.03481285646557808
the,29.66,29.96,0.24570420570671558
the,32.28,32.58,0.5449976921081543
kid,32.58,33.02,0.9678093791007996
is,33.02,33.18,0.9581486582756042
stealing,33.18,34.36,0.7938280701637268
the,34.36,34.64,0.9723823070526123
cookies,34.64,34.98,0.9894753694534302
he's,36.8,37.4,0.8956788182258606
falling,37.4,37.72,0.32181262969970703
off,37.72,38.04,0.9057276844978333
the,38.04,38.26,0.4633374512195587
yeah,38.26,38.36,0.2291640043258667
he's,38.36,38.62,0.6883692443370819
falling,38.62,38.72,0.6973055005073547
off,38.72,38.96,0.9374704957008362
the,38.96,39.12,0.992132842540741
stool,39.12,39.4,0.6460654139518738
and,39.82,40.42,0.34439244866371155
what,40.42,40.6,0.9765729308128357
else?,40.6,40.92,0.9987735152244568
very,44.44,45.04,0.2670757472515106
much,45.04,45.42,0.9934799671173096
el,45.42,45.78,0.2653874456882477
smith,45.78,46.08,0.7057667374610901
