word,start,end,probability
somebody,1.7399999999999989,2.32,0.1843835860490799
climbed,2.32,2.58,0.1777178794145584
up,2.58,2.9,0.9473996162414551
on,2.9,3.04,0.9353187084197998
the,3.04,3.18,0.6331188678741455
senior,3.18,3.48,0.23765917122364044
person's,3.48,4.64,0.33790920674800873
jar,4.64,6.88,0.5050960779190063
washing,9.44,10.02,0.8190894722938538
dishes,10.02,10.44,0.38474157452583313
right,12.22,12.8,0.28491270542144775
that's,12.88,13.3,0.9611388444900513
it,13.3,13.56,0.9851371049880981
what's,13.64,14.22,0.6253616362810135
the,14.22,14.3,0.2834988534450531
next,14.3,14.5,0.47779348492622375
one?,14.5,14.72,0.9801846146583557
trying,14.9,15.44,0.637587308883667
to,15.44,15.56,0.9829888939857483
get,15.56,15.92,0.9856207966804504
a,15.92,16.02,0.8956799507141113
cookie,16.02,16.24,0.9250763654708862
jar,16.24,16.6,0.9719021320343018
on,16.6,17.24,0.8119801878929138
the,17.24,17.42,0.6719628572463989
stove,17.42,17.78,0.6114288568496704
and,17.78,18.24,0.5837041139602661
the,18.24,18.3,0.4075450003147125
whole,18.3,18.58,0.5801619291305542
world,18.58,18.86,0.9928361773490906
trying,18.86,20.52,0.3796079754829407
to,20.52,20.74,0.9883437156677246
help,20.74,20.96,0.9984346032142639
that's,21.24,21.68,0.8699586391448975
it,21.68,21.72,0.9501946568489075
washing,21.94,22.48,0.995630294084549
dishes,22.48,22.78,0.997215747833252
drying,24.1,24.68,0.9520331025123596
dishes,24.68,25.06,0.9962800145149231
water,25.3,25.84,0.8540863990783691
tank,25.84,26.26,0.1179211363196373
fire,26.34,26.68,0.10952571779489517
and,26.84,26.9,0.4156496524810791
sink,26.9,27.16,0.9715255498886108
oh,28.4,28.84,0.5216296315193176
please,28.96,29.22,0.9855705499649048
let,29.22,29.42,0.9136394262313843
me,29.42,29.62,0.9987598657608032
go,29.62,29.82,0.9940683841705322
because,29.82,30.04,0.5095425248146057
i,30.04,30.18,0.9834054708480835
can't,30.18,30.4,0.9842774569988251
stand,30.4,30.68,0.7255380153656006
this,30.68,30.96,0.9729251265525818
anymore,30.96,31.26,0.9537181258201599
