word,start,end,probability
okay,1.8399999999999936,2.3599999999999968,0.2770342528820038
little,2.3599999999999968,2.88,0.47435668110847473
boy,2.88,3.16,0.507783055305481
is,3.16,3.32,0.5358983874320984
on,3.32,3.76,0.9693723320960999
a,3.76,3.9,0.8012038469314575
stool,3.9,4.16,0.9853458404541016
that,4.16,4.3,0.6301135420799255
looks,4.3,4.54,0.3734532296657562
like,4.54,4.84,0.9852381348609924
he's,4.84,5.08,0.822090357542038
gonna,5.08,5.2,0.5508207678794861
fall,5.2,5.5,0.987491250038147
as,6.0,6.52,0.18098312616348267
they,6.52,6.78,0.4834568500518799
go,6.78,7.02,0.6019421219825745
into,7.02,7.22,0.9417834281921387
the,7.22,7.4,0.9860298037528992
cookie,7.4,7.62,0.9884418845176697
jar,7.62,8.0,0.9920275807380676
the,8.32,9.04,0.5876438617706299
stool,9.04,11.14,0.8783882856369019
will,11.14,11.34,0.20619982481002808
actually,11.34,11.6,0.6935433149337769
fall,11.6,12.6,0.8995757102966309
over,12.6,13.26,0.9547171592712402
because,13.26,13.6,0.3466053903102875
it's,13.6,13.8,0.8428303599357605
like,13.8,13.96,0.8195187449455261
a,13.96,14.06,0.1851072907447815
little,14.06,14.52,0.8308960795402527
girl,14.52,15.0,0.9967522621154785
is,15.0,15.16,0.9516454339027405
pointing,15.16,15.54,0.9444921612739563
and,15.54,16.04,0.630470871925354
handing,16.04,16.36,0.31031033396720886
her,16.36,16.72,0.948600709438324
a,16.72,16.84,0.7793896794319153
cookie,16.84,17.08,0.9983602166175842
a,17.76,18.08,0.38604485988616943
mom,18.08,18.4,0.9752681255340576
is,18.4,18.82,0.997001588344574
drying,18.82,19.3,0.6844589114189148
the,19.3,19.52,0.9897720217704773
dishes,19.52,19.88,0.9985460042953491
and,19.88,20.4,0.7812106609344482
all,20.4,20.66,0.991782546043396
the,20.66,20.88,0.9925678968429565
water,20.88,21.18,0.9967005848884583
is,21.18,21.26,0.6501655578613281
flowing,21.26,21.76,0.7640364766120911
she's,23.66,24.18,0.9609323143959045
not,24.18,24.36,0.9988899827003479
paying,24.36,24.6,0.9992061257362366
attention,24.6,24.8,0.9917196035385132
to,24.8,25.22,0.9984012246131897
that,25.22,25.42,0.9989342093467712
she's,25.5,25.74,0.9939862787723541
looking,25.74,26.0,0.9970014691352844
straight,26.0,26.34,0.9881437420845032
at,26.34,26.54,0.7183393836021423
something,26.54,26.74,0.9088742733001709
there's,28.0,28.56,0.4064282290637493
a,28.56,28.68,0.6952018737792969
cabinet,28.68,29.16,0.8908711075782776
in,29.16,29.68,0.9346736073493958
that,29.68,30.04,0.9699342250823975
room,30.04,30.4,0.997492790222168
and,30.4,30.74,0.5916562080383301
there's,30.74,31.16,0.9528737366199493
clay,31.16,32.12,0.5767046809196472
and,32.12,32.64,0.7167547941207886
two,32.64,32.84,0.7961553335189819
cups,32.84,33.26,0.997706413269043
you,33.78,34.34,0.5117557644844055
can,34.34,34.5,0.9698735475540161
look,34.5,34.7,0.9478626251220703
outside,34.7,34.98,0.9900001883506775
the,34.98,35.26,0.9485202431678772
window,35.26,35.62,0.996121346950531
and,35.62,35.92,0.7133480310440063
you,35.92,36.02,0.8053027987480164
see,36.02,36.26,0.9216252565383911
a,36.26,36.36,0.9850387573242188
walkway,36.36,37.02,0.9729996919631958
you,37.12,37.36,0.7481503486633301
see,37.36,37.38,0.94245445728302
grass,37.38,37.78,0.9443843364715576
you,37.98,38.06,0.8504853248596191
see,38.06,38.16,0.9839868545532227
another,38.16,38.4,0.9919838309288025
window,38.4,38.84,0.9962307810783386
with,38.84,39.04,0.9878153800964355
a,39.04,39.16,0.9565891027450562
curtain,39.16,39.48,0.9979700446128845
in,39.96,40.52,0.4873277246952057
the,40.52,40.66,0.98321932554245
room,40.66,41.1,0.8719685673713684
that,41.1,41.82,0.8250777721405029
she's,41.82,42.1,0.9765174090862274
in,42.1,42.26,0.997116208076477
has,42.26,42.52,0.5951013565063477
a,42.52,42.7,0.995123565196991
curtain,42.7,43.04,0.9985873699188232
and,43.04,43.22,0.970356285572052
there's,43.22,43.48,0.989218682050705
a,43.48,43.54,0.9925063252449036
window,43.54,43.9,0.9996612071990967
and,44.4,44.96,0.4468257427215576
i,44.96,45.06,0.9667841196060181
think,45.06,45.26,0.9994059801101685
that's,45.26,45.58,0.9984284043312073
it,45.58,45.7,0.9989168643951416
