word,start,end,probability
well,1.2400000000000015,1.7800000000000007,0.48223599791526794
the,1.7800000000000007,2.32,0.9890889525413513
girl,2.32,2.6,0.9947383999824524
is,2.6,2.8,0.989011287689209
reaching,2.8,3.1,0.9839798212051392
for,3.1,4.36,0.8731690049171448
a,4.36,4.48,0.9890600442886353
cookie,4.48,4.74,0.7154709696769714
that,4.74,5.06,0.9538315534591675
the,5.06,5.16,0.857966959476471
boy,5.16,5.42,0.3428712785243988
is,5.42,5.54,0.33785462379455566
trying,5.54,5.82,0.9411453008651733
to,5.82,6.0,0.9964897036552429
get,6.0,6.18,0.9683070778846741
for,6.18,6.44,0.6447592973709106
her,6.44,6.7,0.16697941720485687
wow,6.8,7.32,0.08482631295919418
am,7.34,7.56,0.20425109565258026
i,7.56,8.7,0.987759530544281
going,8.7,8.82,0.9919489622116089
too,8.82,8.98,0.937095582485199
fast?,8.98,9.32,0.9991911053657532
falling,9.42,9.78,0.8965010046958923
off,9.78,9.98,0.9939612150192261
the,9.98,10.2,0.9928845763206482
ladder,10.2,10.52,0.9977242350578308
and,11.860000000000001,12.4,0.6567135453224182
the,12.4,12.52,0.981978714466095
mother,12.52,12.8,0.9947068095207214
is,12.8,13.04,0.9978774785995483
washing,13.04,13.44,0.9987505674362183
dishes,13.44,13.84,0.9725629091262817
drying,14.26,15.88,0.9029129147529602
a,15.88,16.14,0.7044113874435425
plate,16.14,16.52,0.9988609552383423
while,17.26,17.8,0.5551552772521973
the,17.8,18.08,0.9989499449729919
sink,18.08,18.36,0.9949963092803955
is,18.36,18.54,0.9821433424949646
stowing,18.54,18.84,0.6882566958665848
over,18.84,19.18,0.973368763923645
with,19.18,19.4,0.9892549514770508
water,19.4,19.74,0.9978079199790955
that,19.74,20.04,0.9536939263343811
has,20.04,20.18,0.8092201948165894
already,20.18,20.44,0.31454479694366455
flown,20.44,20.76,0.9883385896682739
from,20.76,21.08,0.9010517597198486
the,21.08,21.22,0.8716892004013062
spigot,21.22,21.64,0.9902622898419698
that,21.64,21.8,0.9205372333526611
is,21.8,21.9,0.9861473441123962
still,21.9,22.22,0.9998082518577576
running,22.22,22.46,0.9834731221199036
the,22.9,23.44,0.9073977470397949
water,23.44,23.78,0.9995604157447815
is,23.78,23.92,0.9864552021026611
gushing,23.92,24.34,0.9908454716205597
out,24.34,24.66,0.9996751546859741
and,35.620000000000005,36.04,0.37340715527534485
the,36.04,36.34,0.9602012634277344
girl,36.34,36.62,0.991336464881897
is,36.62,36.84,0.9757707118988037
signaling,36.84,38.62,0.8440324664115906
to,38.62,39.66,0.9848798513412476
be,39.66,39.82,0.999159574508667
quiet,39.82,40.4,0.9836142063140869
not,41.480000000000004,41.9,0.7615346312522888
to,41.9,42.1,0.9476315379142761
let,42.1,42.24,0.7971652150154114
the,42.24,42.56,0.35393550992012024
mother,42.56,42.8,0.3640216290950775
know,42.8,43.08,0.9372620582580566
that,43.08,43.24,0.8145703077316284
the,43.24,43.44,0.9691869020462036
boy,43.44,43.66,0.990161657333374
is,43.66,43.82,0.9749431610107422
getting,43.82,44.06,0.6431337594985962
the,44.06,44.26,0.490856796503067
cookies,44.26,44.5,0.0027884449809789658
for,44.5,44.8,0.9379189014434814
her,44.8,44.94,0.9541105628013611
and,53.88,54.3,0.5689823627471924
i,54.3,54.42,0.9735315442085266
did,54.42,54.6,0.9864805340766907
say,54.6,54.76,0.9890885353088379
that,54.76,54.94,0.5133478045463562
she's,54.94,55.16,0.8897251486778259
drying,55.16,55.36,0.291692316532135
the,55.36,55.54,0.965501606464386
dish,55.54,55.74,0.9573790431022644
with,55.74,55.88,0.9809768795967102
the,55.88,56.04,0.946483314037323
towel,56.04,56.26,0.9442040324211121
and,60.160000000000004,60.52,0.2579491436481476
the,60.52,60.58,0.9624651074409485
water,60.58,60.76,0.6904629468917847
is,60.76,60.9,0.42298558354377747
gushing,60.9,61.22,0.3776123076750082
out,61.22,61.48,0.3473411202430725
for,61.48,61.8,0.042651545256376266
her,61.8,61.9,0.12290656566619873
