word,start,end,probability
first,4.1,4.74,0.20961716771125793
of,4.74,4.9,0.8812234401702881
all,4.9,5.04,0.9866632223129272
the,5.04,5.2,0.5352835059165955
sink,5.2,5.78,0.9428375959396362
is,5.78,6.0,0.9786835312843323
overflowing,6.0,6.72,0.8939355909824371
mother,9.54,10.18,0.6913546919822693
is,10.18,10.54,0.7908371090888977
washing,10.54,11.16,0.9813181757926941
dishes,11.16,11.74,0.9825748801231384
or,11.74,12.08,0.4680212140083313
an,12.08,12.26,0.9360787272453308
adult,12.26,12.58,0.9922816157341003
is,12.58,12.98,0.835567057132721
washing,12.98,13.3,0.9911667704582214
dishes,13.3,13.74,0.9932385683059692
there,14.1,14.6,0.759676992893219
are,14.6,14.74,0.9306161999702454
two,14.74,14.92,0.9416301250457764
children,14.92,15.5,0.9946935772895813
in,15.5,16.18,0.44162529706954956
the,16.18,16.3,0.5603913068771362
cookie,16.3,16.6,0.9648975729942322
jar,16.6,16.98,0.991894543170929
one,17.24,17.8,0.7743017673492432
is,17.8,18.04,0.7762726545333862
on,18.04,18.22,0.9850200414657593
a,18.22,18.36,0.6448515057563782
stool,18.36,18.72,0.9167431592941284
and,18.72,19.2,0.7454153895378113
the,19.2,19.58,0.9416040182113647
stool,19.58,19.88,0.8429901599884033
is,19.88,20.06,0.7916438579559326
overturning,20.06,20.72,0.7783988118171692
the,21.58,22.22,0.9790120720863342
little,22.22,22.44,0.9839159846305847
girl,22.44,22.84,0.9987300038337708
is,22.84,23.02,0.997252881526947
reaching,23.02,23.32,0.9973403811454773
for,23.32,23.8,0.9979826211929321
a,23.8,24.06,0.9759776592254639
cookie,24.06,24.34,0.9816480875015259
from,24.34,24.66,0.9931671023368835
the,24.66,24.84,0.993915855884552
little,24.84,25.06,0.9977157115936279
boy,25.06,25.38,0.9987242817878723
as,25.38,25.88,0.8235426545143127
the,25.88,26.06,0.7903474569320679
stool,26.06,27.48,0.989173412322998
turns,27.48,28.82,0.21652823686599731
and,28.82,29.16,0.8766276836395264
falls,29.16,29.42,0.6562030911445618
over,29.42,29.82,0.983384370803833
there,29.82,30.88,0.23349636793136597
is,30.88,31.08,0.5124250650405884
a,31.08,31.2,0.9320428967475891
window,31.2,31.52,0.955116868019104
and,31.52,33.32,0.44554319977760315
bushes,33.32,34.8,0.8656403422355652
and,34.8,35.44,0.8205704689025879
path,35.44,35.86,0.7168501019477844
outside,35.86,36.72,0.8916498422622681
the,36.72,36.98,0.888665497303009
window,36.98,37.3,0.9888456463813782
and,37.64,38.28,0.5061190724372864
a,38.28,38.42,0.812306821346283
glimpse,38.42,38.7,0.9936937689781189
of,38.7,38.9,0.9684398770332336
another,38.9,39.14,0.9822340607643127
window,39.14,39.64,0.9751571416854858
in,39.64,41.48,0.43093404173851013
another,41.48,42.0,0.9763115048408508
part,42.0,42.34,0.9906971454620361
of,42.34,42.5,0.9972888231277466
the,42.5,42.58,0.9876813888549805
house,42.58,43.0,0.9956573247909546
there,43.14,43.34,0.30369141697883606
are,43.34,43.5,0.7939291596412659
curtains,43.5,43.9,0.9939853549003601
with,43.9,44.3,0.7443670034408569
tie,44.3,44.66,0.8833783864974976
backs,44.66,44.96,0.6556175947189331
there,45.1,45.26,0.8842651844024658
are,45.26,45.34,0.9646240472793579
dishes,45.34,45.66,0.9759973883628845
there,47.42,48.06,0.84787917137146
are,48.06,48.3,0.5300504565238953
dish,48.3,48.64,0.8182597160339355
towels,48.64,49.02,0.9104962944984436
there,49.64,50.28,0.7733483910560608
are,50.28,50.44,0.9449679255485535
dish,50.44,50.76,0.9768974781036377
towels,50.76,51.16,0.9938802719116211
down,55.88,56.52,0.5049720406532288
another,56.76,57.06,0.23437988758087158
down,57.06,57.48,0.6044602394104004
another,57.56,57.76,0.5893111824989319
down,57.76,58.02,0.888728678226471
there,58.02,58.2,0.3086555004119873
is,58.2,58.3,0.7456936240196228
only,58.3,58.72,0.9383116960525513
one,58.72,59.04,0.9776270389556885
dish,59.04,59.34,0.9740639925003052
towel,59.34,59.58,0.9859344363212585
there,59.82,59.98,0.0027409216854721308
is,59.98,59.98,0.12561337649822235
only,59.98,60.18,0.004853328689932823
one,60.18,60.52,0.34127262234687805
dish,60.52,61.3,0.024376148357987404
towel,61.3,61.6,0.9206798672676086
two,62.6,63.28,0.7740486264228821
cups,63.28,63.72,0.9881649017333984
of,63.72,64.28,0.7209402322769165
bait,64.28,64.62,0.22212059795856476
cabinets,65.42,66.1,0.8519775072733561
apron,69.5,70.18,0.6413847953081131
grass,74.74000000000001,75.42,0.9493774771690369
and,75.42,75.74,0.9477319717407227
trees,75.74,76.0,0.9589999914169312
floor,78.54,79.22,0.9522248208522797
towers,82.78,83.46,0.14651119336485863
stairs,83.58,83.92,0.45849475264549255
stairs,84.0,84.28,0.05726468563079834
