word,start,end,probability
there's,3.400000000000004,3.92,0.6626285165548325
a,3.92,3.96,0.9929022192955017
cookie,3.96,4.22,0.9948405623435974
jar,4.22,4.52,0.9989984631538391
on,4.52,4.8,0.9920961856842041
the,4.8,4.92,0.9988365769386292
shelf,4.92,5.32,0.9975912570953369
the,5.48,5.56,0.5852901339530945
little,5.56,5.76,0.5955266356468201
boy's,5.76,6.12,0.7946410179138184
at,6.12,6.22,0.26370713114738464
the,6.22,6.36,0.5705353617668152
store,6.36,6.92,0.5793705582618713
and,7.24,7.4,0.9961330890655518
the,7.4,7.48,0.9894874095916748
store,7.48,7.76,0.9812829494476318
is,7.76,8.0,0.9832777380943298
about,8.0,8.26,0.9997329115867615
to,8.26,8.54,0.9996205568313599
fall,8.54,9.84,0.6355106234550476
while,10.34,10.86,0.09399504959583282
he's,10.86,11.06,0.9953290820121765
about,11.06,11.26,0.999743640422821
to,11.26,11.42,0.9996503591537476
fall,11.42,11.7,0.9999240636825562
the,11.76,11.96,0.996507465839386
store,11.96,12.06,0.912903368473053
is,12.06,12.24,0.5883361101150513
about,12.24,12.42,0.999347984790802
to,12.42,12.58,0.9990559220314026
turn,12.58,12.8,0.9594284296035767
the,12.9,13.1,0.6358611583709717
little,13.1,13.9,0.9974703788757324
girl,13.9,14.24,0.9998589754104614
in,14.24,14.62,0.9599247574806213
the,14.62,14.72,0.9977378845214844
picture,14.72,14.96,0.9976125955581665
is,14.96,15.14,0.951745331287384
reaching,15.14,15.46,0.9994198083877563
for,15.46,15.8,0.9835991859436035
the,15.8,15.96,0.9998689889907837
cookie,15.96,16.3,0.9993414282798767
mother,16.960000000000004,17.48,0.43570998311042786
is,17.48,17.8,0.9999122619628906
washing,17.8,18.06,0.9992116689682007
dishes,18.06,18.54,0.9994224309921265
that,18.54,18.96,0.73533034324646
were,18.96,19.14,0.631475031375885
running,19.14,20.52,0.990159809589386
and,20.52,21.78,0.9928845167160034
running,21.78,22.12,0.9998997449874878
over,22.12,22.58,0.999502420425415
onto,22.58,23.04,0.9997637867927551
the,23.04,23.28,0.999951958656311
floor,23.28,23.78,0.9998693466186523
she,24.660000000000004,25.18,0.9972186088562012
has,25.18,25.36,0.5236600637435913
a,25.36,25.58,0.9990689158439636
plate,25.58,26.28,0.9992751479148865
in,26.28,26.6,0.9997531771659851
her,26.6,26.74,0.9999619722366333
hand,26.74,27.04,0.9954138398170471
and,27.1,27.3,0.9993570446968079
the,27.3,27.44,0.8121110200881958
cow,27.44,27.88,0.8346985578536987
just,27.88,28.22,0.7420254945755005
cried,28.22,28.66,0.6438900828361511
two,30.0,30.28,0.7135155200958252
cubs,30.28,30.78,0.16681130975484848
are,30.78,30.98,0.8954099416732788
sitting,30.98,31.2,0.9903792142868042
on,31.2,31.42,0.7001305818557739
the,31.42,31.54,0.9533953070640564
counter,31.54,32.02,0.9905452728271484
and,32.16,33.02,0.7946048378944397
also,33.02,33.46,0.7710658311843872
a,33.46,33.74,0.5991565585136414
plate,33.74,34.14,0.985551118850708
you,34.8,35.1,0.9770578145980835
can,35.1,35.28,0.9981184005737305
see,35.28,35.52,0.9981259703636169
out,35.52,35.66,0.7348909378051758
through,35.66,35.9,0.9919465184211731
the,35.9,36.14,0.9911054968833923
kitchen,36.14,36.72,0.8739901185035706
window,36.72,37.04,0.791142463684082
another,37.46,38.74,0.5070508718490601
part,38.74,39.56,0.9394618272781372
of,39.56,39.72,0.996291995048523
the,39.72,39.78,0.991870641708374
house,39.78,40.12,0.9982292056083679
and,40.739999999999995,41.04,0.9545642733573914
then,41.04,41.22,0.5579922199249268
the,41.22,41.4,0.7553684711456299
garage,41.4,41.64,0.5848275423049927
walkway,42.919999999999995,43.519999999999996,0.6938219368457794
always,43.519999999999996,44.12,0.5644893646240234
from,44.12,44.42,0.3014586865901947
the,44.42,44.62,0.956989049911499
house,44.62,44.86,0.9786984920501709
we,45.66,46.2,0.9345430731773376
can,46.2,46.34,0.9956045150756836
see,46.34,46.52,0.993966281414032
a,46.52,46.6,0.5376759767532349
window,46.6,46.94,0.9940134882926941
across,46.94,47.64,0.7350180745124817
the,47.64,48.12,0.4587545692920685
other,48.12,48.9,0.5362503528594971
part,48.9,49.36,0.7150331735610962
of,49.36,49.5,0.9638423323631287
the,49.5,49.58,0.9827180504798889
house,49.58,50.0,0.9983287453651428
a,50.0,50.22,0.4636690616607666
road,50.22,50.54,0.22758601605892181
a,50.68,50.98,0.9675595760345459
tree,50.98,51.88,0.9973135590553284
there,52.900000000000006,53.2,0.8703981041908264
are,53.2,53.5,0.8909568190574646
curtains,53.5,54.22,0.7362826466560364
on,54.22,54.66,0.26663464307785034
the,54.66,54.72,0.8223279118537903
windows,54.72,55.02,0.8684723377227783
there,66.08,66.58,0.009307444095611572
are,66.58,66.8,0.08061058074235916
curtains,66.8,66.8,3.262294558226131e-05
from,66.8,66.8,0.000999165466055274
outside,66.8,66.8,0.00023064209381118417
that,66.8,66.8,0.005761889740824699
block,66.8,66.8,0.0016300008865073323
the,66.8,67.28,0.19875693321228027
cook,67.28,67.86,3.3942364098038524e-05
areas,67.86,71.28,0.00018853071378543973
just,71.52,72.02,0.003643660107627511
in,72.02,72.08,0.04148310422897339
case,72.08,72.14,0.9854772686958313
we,72.14,72.46,0.04570961743593216
fall,72.46,72.46,0.002161635784432292
there's,72.56,73.06,0.2019848395138979
a,73.06,73.36,0.4455137252807617
tallbles,73.36,74.64,3.391275049580145e-05
we,74.76,74.78,0.052222736179828644
have,74.78,74.8,0.07493212819099426
windows,74.8,74.82,0.0029375203885138035
here,74.82,74.82,0.07098352164030075
in,74.82,74.84,0.03741635009646416
this,74.84,74.86,0.04798203706741333
apartment,74.86,75.26,0.00643263291567564
there,75.54,75.54,0.06249178573489189
are,75.54,75.62,0.26096466183662415
whitefield,75.62,75.72,0.0008999107958516106
religion,75.72,76.0,2.511717184461304e-06
days,76.0,76.0,0.00023083797714207321
on,76.0,76.0,0.03796958923339844
the,76.0,76.0,0.493740051984787
walls,76.0,76.0,0.040562547743320465
